,구분,이름,브랜드,설명,가격,평점,하트
121,Unisex,프레데릭 말 제라늄 뿌르 무슈 50ml,프레데릭말,"비가 그친 제라늄 숲 속, 낮게 깔린 안개가 연출하는 신비로움","224,500원",5.0,
122,Unisex,구찌 알케미스트 가든 문라이트 세레나데 오 드 퍼퓸 150ml,구찌,"시원한 라벤더 바람과 함께 내 귓등을 타고 흐르는 청량함, 세이지와 라벤더의 여름날 향기","289,000원",0.0,
123,Unisex,펜할리곤스 베스트셀러 디스커버리 세트,펜할리곤스,펜할리곤스 베스트 & 스테디셀러 10종으로 구성된 디스커버리 패키지,"49,000원",5.0,
124,Unisex,돌체앤가바나 라이트 블루 25/50/100ml,돌체앤가바나,"청량한 하늘같은 비누, 뽀송한 향기","52,000원",4.8,
125,Unisex,오리베 프래그런스 디스커버리 세트,오리베,"청량하게 부서지는 넓은 확산력, 오리베를 경험하기 좋은 3종 디스커버리 세트","29,700원",5.0,
126,Unisex,샤보 루비에르 드 베니스 오 드 퍼퓸 30ml,샤보,톤 다운된 메이크업이 잘 어울리는 시크하고 달콤한 우디향취,"117,500원",0.0,
127,Unisex,샤보 빈티지 오 드 퍼퓸 30ml,샤보,"따뜻한 아메리카노와 바닐라 과자, 그리고 튜베로즈 식빵","117,500원",5.0,
128,Unisex,샤보 레 에 쇼콜라 오 드 뚜왈렛 30ml,샤보,"이제껏 경험한적 없는 완벽한 달콤함, 초콜릿과 바닐라의 완벽한 하모니","101,300원",4.7,
129,Unisex,샤보 레 꽁 상뜨레 오 드 뚜왈렛 30ml,샤보,"우유 향수, 완전 따뜻하고 달콤한 연유속에 캬라멜 한조각이 풍덩","101,300원",4.8,
130,Unisex,구찌 알케미스트 가든 윈터스 스프링 오 드 퍼퓸 100ml,구찌,미모사와 아카시아 꽃을 가볍게 띄워놓은 미온수로 부드럽게 목욕한 후 살에 남은 잔향,"395,000원",0.0,
131,Unisex,구찌 알케미스트 가든 어 윈터 멜로디 사이프러스 센티드 워터 150ml,구찌,"서늘한 겨울 공기가 하얀 입김으로 되돌아가는 풍경, 그곳을 에워싸는 눈 덮인 초겨울의 숲 향기","289,000원",5.0,
132,Unisex,마크제이콥스 스플래쉬 레인 100ml,마크제이콥스,"소나기가 한차례 쏟아진 정원, 바닥에서부터 피어오르는 꽃들의 향기","62,500원",4.8,
133,Unisex,클린 리저브 웜코튼 오 드 퍼퓸 100ml,클린 리저브,"기어들어가고 싶게 촉촉한, 빨래 향기가 그대로 밴 이불","101,150원",4.9,
134,Unisex,아틀리에 코롱 클레망틴 캘리포니아 30ml,아틀리에 코롱,"소다 밀키스를 마시는 상큼함, 아틀리에의 베스트셀러","72,000원",4.8,
135,Unisex,프라고나르 세드르 오 드 뚜왈렛 100ml,프라고나르,"낮엔 풀꽃들이 보이고, 저녁엔 얼음 결정이 보이는 시린 청량감","71,500원",4.8,
136,Unisex,프로소디 런던 오션 커모션 오 드 코롱 30ml,프로소디 런던,"바다 한 가운데 누워, 등에서 느껴지는 시원함과 철썩대는 파도소리가 자장가처럼 편안해지는 순간","70,500원",4.8,
