품목별,항목,단위,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월
예술품 수집가의 수집물 및 골동품,수입액[천달러],천달러,17988,28252,18435,4749,10601,18596,27157,28744,28585,20295,59802,28009,32384,77124,30132,45203,71124,62658,84572,48617,44458,45195,60125,77678,97,0,,,,
신변장식용품.금세공품과 은세공품 및 기타의 귀석제품,수출액[천달러],천달러,35457,26981,22775,21593,17260,22664,29755,46945,70959,55587,66282,28437,31107,55735,41399,46344,33747,45253,39495,48114,54164,39449,61209,54535,50176,55249,60417,39244,37893,45124
신변장식용품.금세공품과 은세공품 및 기타의 귀석제품,수입액[천달러],천달러,63660,59321,58063,53349,43474,55886,55875,84367,52155,64048,70247,74917,71488,91830,103630,93621,95814,101121,101897,118475,133053,98761,94864,110058,100945,112131,195515,110541,122258,95231
"악기 및 그 부분품과 부속품 ; 레코드,테이프",수출액[천달러],천달러,732910,910392,969876,851786,988152,1016904,930490,1063090,1008668,747948,754868,846411,751017,839176,1033251,841432,1042904,1198896,1224977,1422703,1603488,1182010,1445798,1288061,1227152,1339007,1447466,1469374,1426235,1369037
"악기 및 그 부분품과 부속품 ; 레코드,테이프",수입액[천달러],천달러,199547,200385,166351,204191,231438,234523,187788,226562,196960,208641,195721,249339,219702,212857,233584,241143,214874,271928,296476,308600,289806,244478,243906,278949,368216,204706,243330,246684,240574,162792
달리 명시되지 않은 잡제품,수출액[천달러],천달러,69185,70230,77212,44848,61127,80668,68728,59098,85212,82621,91037,102821,70971,74398,98012,90612,87194,107703,97186,81735,91528,92045,105946,112674,88146,89142,105767,105655,117233,120458
달리 명시되지 않은 잡제품,수입액[천달러],천달러,144245,97287,125733,140806,123739,129511,128006,151286,119905,124476,139724,149637,138094,139414,156996,159706,160591,163459,168547,157491,137098,141043,167317,186703,161771,143308,184814,184210,176641,185073
달리 분류되지 않은 상품 및 취급물,수출액[천달러],천달러,127336,305519,217008,247524,226176,106494,52383,136031,174454,90283,118584,82183,62532,51807,48258,43249,87000,92219,51338,97815,92645,72093,67654,49955,7771620,7489438,9270382,7722860,7758127,7675865
달리 분류되지 않은 상품 및 취급물,수입액[천달러],천달러,79016,75322,79263,52294,48468,61437,101565,121407,87302,102520,93321,139091,215691,221611,335630,322865,226293,189581,198207,162873,96754,199677,172879,362646,5140896,4876752,5898378,5562316,5817610,5914291
종류에 따라 분류할 수 없는 특수 취급물,수출액[천달러],천달러,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
종류에 따라 분류할 수 없는 특수 취급물,수입액[천달러],천달러,0,,,,,,,,,,,13,1,,0,,,,1,,,,,,,2,1,27,1,0
종류에 따라 분류할 수 없는 특수 취급물,수출액[천달러],천달러,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
종류에 따라 분류할 수 없는 특수 취급물,수입액[천달러],천달러,0,,,,,,,,,,,13,1,,0,,,,1,,,,,,,2,1,27,1,0
